,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Spawn Rate,Statistics Weight,Notifications Weight,Get Accounts Weight,Put Accounts Weight,Unnamed: 29
8800,1745556542,272,,Aggregated,53.3,0.0,61.0,99.0,120.0,130.0,150.0,180.0,210.0,220.0,320.0,320.0,320.0,1410,0,61.0,80.02734567385072,15.130800002225442,324.89949999944656,109.69078014184396,8,16,2,1,8,
8900,1745556643,1072,,Aggregated,164.6,1.4,46.0,60.0,79.0,100.0,160.0,240.0,350.0,850.0,1300.0,1600.0,1600.0,13856,16,46.0,82.85324200347834,11.108600003353786,1579.9686999998812,56.56668591224018,8,16,2,1,8,
9000,1745556750,827,,Aggregated,179.6,130.1,640.0,870.0,1100.0,1400.0,2300.0,5500.0,21000.0,21000.0,21000.0,21000.0,21000.0,7896,5608,640.0,1540.6543054204888,18.01760000307695,21418.49799999909,117.24417426545088,15,4,1,8,128,
9100,1745556860,2383,,Aggregated,200.5,102.4,1200.0,2800.0,5200.0,7700.0,15000.0,22000.0,23000.0,24000.0,26000.0,27000.0,27000.0,29431,19032,1200.0,4365.9512111821,18.01760000307695,27263.05689999936,97.26444905032108,15,4,1,8,128,
9200,1745556968,174,,Aggregated,26.1,0.0,750.0,1000.0,1400.0,1600.0,2800.0,5100.0,16000.0,16000.0,22000.0,22000.0,22000.0,7396,5117,750.0,1506.7435566116612,9.431899998162407,21600.79770000084,135.92049756625204,16,32,16,64,4,
9300,1745557072,228,,Aggregated,70.5,19.6,150.0,220.0,260.0,290.0,390.0,450.0,470.0,500.0,1200.0,1200.0,1200.0,1140,332,150.0,185.3724086842448,17.704499998217216,1180.0879999973404,148.92105263157896,12,128,16,64,4,
9400,1745557178,1428,,Aggregated,196.2,111.6,700.0,1200.0,2000.0,2700.0,4600.0,8600.0,21000.0,23000.0,24000.0,24000.0,24000.0,20041,12434,700.0,2151.0017907988818,12.077100000169594,23957.085500001995,116.4248291003443,12,128,16,64,4,
9500,1745557291,731,,Aggregated,183.4,143.2,1000.0,1400.0,1700.0,1900.0,2700.0,4300.0,7800.0,8200.0,17000.0,17000.0,17000.0,8574,7350,1000.0,1437.32912974106,15.38319999963278,17412.35349999988,129.08619080942384,14,64,64,16,1,
9600,1745557401,2170,,Aggregated,279.6,1.2,760.0,970.0,1400.0,1900.0,4000.0,8000.0,17000.0,21000.0,23000.0,23000.0,23000.0,35376,13061,760.0,1809.386280851428,15.38319999963278,23422.72930000036,89.45143600180914,14,64,64,16,1,
9700,1745557507,534,,Aggregated,91.6,0.0,50.0,71.0,100.0,130.0,260.0,340.0,400.0,490.0,1200.0,1300.0,1300.0,5000,4,50.0,97.09757598000922,10.715599997638492,1251.1613000024226,62.7102,6,2,32,1,64,
9800,1745557612,154,,Aggregated,54.2,19.3,220.0,400.0,480.0,530.0,610.0,850.0,1100.0,1200.0,1200.0,1200.0,1200.0,694,224,220.0,322.9595309798195,18.120000000635628,1200.5322000004526,167.671469740634,11,4,2,64,4,
9900,1745557713,327,,Aggregated,50.7,0.0,47.0,64.0,96.0,160.0,480.0,600.0,900.0,1000.0,1200.0,1400.0,1400.0,6366,610,47.0,140.05854384228334,12.463899998692796,1383.3321999991313,239.44156456173425,11,4,2,64,4,
10000,1745557818,491,,Aggregated,152.4,71.5,270.0,360.0,420.0,460.0,620.0,700.0,790.0,830.0,1700.0,1700.0,1700.0,4340,1989,270.0,295.24419981564216,11.961000000155764,1712.997099999484,121.36244239631336,13,4,4,1,16,
10100,1745557920,762,,Aggregated,115.6,0.0,58.0,120.0,240.0,310.0,550.0,670.0,830.0,1000.0,1500.0,2000.0,2000.0,17672,3224,58.0,175.49731905838968,9.23000000329921,2047.7213999984087,63.59200995925758,13,4,4,1,16,
